SMILES,prediction_probability
O=S(=O)(O)c1ccccc1C=Cc1ccc(-c2ccc(C=Cc3ccccc3S(=O)(=O)O)cc2)cc1,0.07
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0.295
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0.245
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,0.25
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.295
Nc1ccccc1N,0.07
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,0.115
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],0.18
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,0.16
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,0.215
Clc1ccc2ccccc2c1,0.195
CCCCCCCCCCCCCCCC[n+]1ccccc1,0.43
C=C(CC(C)(C)c1ccc(O)cc1)c1ccc(O)cc1,0.3
Clc1ccccc1-c1ccccc1,0.075
CC(Br)(CBr)COc1c(Br)cc(Br)cc1Br,0.355
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.335
Clc1ccccc1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.07
CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.36
Brc1cc(Br)c(Br)c(Oc2ccc(Br)c(Br)c2Br)c1,0.285
ClC1C(Br)C(Br)C(Br)C(Br)C1Br,0.295
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,0.295
CCCCCCCCCc1ccccc1O,0.305
CC=C1CC2C=CC1C2,0.335
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0.27
O=[N+]([O-])c1ccc(Cl)cc1C(F)(F)F,0.29
Cc1ccc(S(=O)(=O)Oc2ccc(N=Nc3ccc(-c4ccc(NN=C5C(=O)C=Cc6cc(S(=O)(=O)O)cc(S(=O)(=O)O)c65)c(C)c4)cc3C)cc2)cc1,0.395
CN(C)c1ccc([C+](c2ccccc2)c2ccc(N(C)C)cc2)cc1,0.135
Cc1ccc(N)cc1N,0.3
N#CCCN(CCC#N)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1,0.29
Nc1cccc(O)c1,0.15
O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,0.11
CCOc1ccc(NC(C)=O)cc1,0.32
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c(N=Nc5ccccc5)c(O)c4c3N)c(C)c2)ccc1N=Nc1ccc(N)cc1N,0.205
Oc1c(Cl)cccc1Cl,0.15
Clc1ccccn1,0.075
BrC(Br)c1ccccc1OCC1CO1,0.225
Cc1ccccc1N=Nc1ccc(NN=C2C(=O)C=Cc3ccccc32)c(C)c1,0.18
CCCCCCCCc1ccccc1Nc1ccccc1CCCCCCCC,0.305
Cc1ccc(O)c([N+](=O)[O-])c1,0.28
O=C1c2c(O)ccc(Nc3ccccc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,0.12
S=c1[nH]c2ccccc2s1,0.165
Nc1c(S(=O)(=O)O)cc(S(=O)(=O)O)c2cccc(O)c12,0.15
O=C(O)c1cccc([N+](=O)[O-])c1,0.16
Nc1ccc2ccccc2c1S(=O)(=O)O,0.19
CCCCCCCCCCSSCCCCCCCCCC,0.525
Cc1ccsc1,0.385
NCc1cccc(CN)c1,0.165
CCN(CC)C(=O)c1cccc(C)c1,0.25
CC1CCC(C(=O)O)C(C(=O)O)C1,0.345
O=C(O)C1CCCCC1C(=O)O,0.295
O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0.16
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,0.18
O=S(=O)(O)c1ccc(O)c2ccccc12,0.075
Nc1c(N=Nc2ccc(S(=O)(=O)CCOS(=O)(=O)O)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)O)cc3)c(O)c12,0.325
O=C(O)c1ccccc1Cl,0.08
Nc1ccc(S(=O)(=O)O)c2ccccc12,0.07
CC1CCCC(C)N1,0.31
CN(C)P(=O)(N(C)C)N(C)C,0.345
OCCN(CCO)CCO,0.355
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,0.145
Cc1ccc(N)c(S(=O)(=O)O)c1,0.28
Nc1nc(N)nc(N)n1,0.275
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0.405
N#CNC(=N)N,0.3
NC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O,0.245
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.43
O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)O)cc1,0.205
O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0.325
Nc1cccnc1,0.115
C[N+](C)(C)Cc1ccccc1,0.1
NC(N)=S,0.285
O=C(O)C(O)(c1ccccc1)c1ccccc1,0.085
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,0.25
O=C(O)C1CC=CCC1C(=O)O,0.28
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,0.305
O=c1[nH]c(=O)[nH]c(=O)[nH]1,0.255
Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,0.245
O=S(=O)(O)c1cc(S(=O)(=O)O)c2cc(O)ccc2c1,0.27
CC(O)CN(CC(C)O)CC(C)O,0.355
Clc1ccc(Oc2ccccc2)c(Cl)c1,0.24
ClC1=C(Cl)C2(Cl)C(Cl)CC1(Cl)C2(Cl)Cl,0.355
ClC1=C(Cl)C2(Cl)CC1(Cl)C(Cl)=C2Cl,0.32
CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,0.285
CCCN(CCC)C(=O)SCC,0.42
CCCCCCCCSCc1cc(C)c(O)c(CSCCCCCCCC)c1,0.515
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,0.38
CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.33
CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,0.19
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,0.38
C=C(C)C1CC2C=CC1C2,0.305
C=CC1CCC(C2CCC(CCC)CC2)CC1,0.36
O=C(OC1CCCCC1)c1ccccc1O,0.15
CCCC1CCC(c2ccc(I)cc2)CC1,0.3
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1-c1ccccc1,0.16
CCOCOC1CCCCCCCCCCC1,0.41
CCOc1ccc(Br)c(F)c1F,0.365
Cc1cc(-c2cc(C)c(O)c(C)c2C)c(C)c(C)c1O,0.41
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.3
Cn1cc(C(O)=Nc2cccc3c2C2CCC3C2=C(Cl)Cl)c(C(F)F)n1,0.33
Cc1ccccc1Oc1ccccc1C,0.235
N#CC(=C1CCCCC1)c1ccccc1,0.085
O=C1C(c2ccc3cc(S(=O)(=O)O)cc(N4C(=O)c5c(Cl)c(Cl)c(Cl)c(Cl)c5C4=O)c3n2)=C(O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0.26
CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.535
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl,0.295
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.365
c1ccc2c(OCC3CO3)c3ccccc3c(OCC3CO3)c2c1,0.185
CC(=O)OC1CCCCC1C(C)(C)C,0.375
CC(S)CC(=O)OCC(COC(=O)CC(C)S)(COC(=O)CC(C)S)COC(=O)CC(C)S,0.355
FC(F)(F)c1ccc(Cl)cc1,0.275
CCCc1ccc(C2OC(C(O)CO)C3OC(c4ccc(CCC)cc4)OC(CCC)C3O2)cc1,0.29
CC=CC(=O)C1C(C)C=CCC1(C)C,0.33
CC(C)C1CCC(C)(c2ccc(O)cc2)CC1c1ccc(O)cc1,0.33
C=CC1CCC(C2CCC(c3ccc(C)cc3)CC2)CC1,0.265
CCCCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,0.525
CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C,0.335
CCCCCCCCCC[n+]1cccc(COCCCCOCc2ccc[n+](CCCCCCCCCC)c2)c1,0.395
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.395
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,0.38
CCCc1ccc(-c2ccc(-c3ccc(CC)cc3)cc2F)cc1,0.4
O=C(c1ccccc1)c1cc(Cl)ccc1Cl,0.11
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.235
CCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,0.405
C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.35
C1CC[N+]2(C1)CCCC2,0.295
CCCc1ccc(-c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1,0.42
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)NC(=O)Nc1cccc(-c2nn3nc(C(C)(C)C)c(Cl)c3[nH]2)c1,0.35
CCCCN(CCCC)c1ccc([N+](=C2C=CC(=[N+](c3ccc(N(CCCC)CCCC)cc3)c3ccc(N(CCCC)CCCC)cc3)C=C2)c2ccc(N(CCCC)CCCC)cc2)cc1,0.43
CC(C)CC(C)c1sccc1N,0.46
CCCCC(CC)C(=O)OCCOc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(O)c1,0.35
CC(C)(C)c1ccc(O)c([N+](=O)[O-])c1,0.245
CCCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.57
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.34
O=C(O)C1CC2CC1C1C3C=CC(C3)C21,0.28
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.345
CCn1cc[n+](C)c1C,0.29
FP1(F)=NP(F)(F)=NP(F)(Oc2ccccc2)=N1,0.23
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0.435
CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,0.335
Oc1ccc(-c2ccccc2)cc1,0.075
c1ccc(OP2(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=N2)cc1,0.16
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,0.425
CC(=O)Oc1ccc(C(C)(C)CC(C)(C)C)cc1C1C(=O)Oc2ccc(C(C)(C)CC(C)(C)C)cc21,0.375
Cc1cc(N=Nc2c(S(=O)(=O)O)cc3c(S(=O)(=O)O)c(N=Nc4c(Nc5ccccc5)ccc5c(O)c(N=Nc6ccc7c(O)c(N=Nc8ccccc8S(=O)(=O)O)c(S(=O)(=O)O)cc7c6)c(S(=O)(=O)O)cc45)ccc3c2O)c(OCCCS(=O)(=O)O)cc1N=Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,0.35
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.34
CCCCCCCCCCCCSCCC(=O)Oc1cc(C)c(Sc2cc(C(C)(C)C)c(O)cc2C)cc1C(C)(C)C,0.655
COC(F)(F)C(F)(F)C(F)(F)F,0.38
[N-]=[N+]=C(S(=O)(=O)C1CCCC2(C1)OCCO2)S(=O)(=O)C1CCCC2(C1)OCCO2,0.385
O=P(O)(O)c1ccccc1,0.125
CC1CCCCC1NC(=O)CC(CC(=O)NC1CCCCC1C)C(=O)NC1CCCCC1C,0.33
CCCCc1ccc(-c2ccc(-c3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)c(F)c2)cc1,0.495
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,0.24
CCC(COCC(F)(F)C(F)(F)F)OC(=O)CC(C(=O)OC(CC)COCC(F)(F)C(F)(F)F)C(C(=O)OC(CC)COCC(F)(F)C(F)(F)F)S(=O)(=O)O,0.38
CCCC1CCC(C2CCC(C(F)(F)Oc3cc(F)c(F)c(F)c3)CC2)CC1,0.445
Cc1c(C#N)c(Nc2ccc(S(=O)(=O)O)cc2)nc(Nc2ccc(S(=O)(=O)O)cc2)c1N=Nc1nc(-c2ccc3ccccc3c2)c(N=Nc2cc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c3c2)s1,0.295
CCOC(=O)C(=Cc1ccc(C=C(C(=O)OCC)C(=O)OCC)cc1)C(=O)OCC,0.325
Cc1ccc(C2OC3COC(c4ccc(C)c(C)c4)OC3C(C(O)CO)O2)cc1C,0.36
CSc1c(C)cc(O)cc1C,0.37
CCCCOCCCN1C(C(C(=O)Nc2cc(C(C)(C)C)ccc2SCC(CC)CCCC)N2C(=O)OC(C)(C)C2=O)=Nc2ccccc2S1(=O)=O,0.4
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.36
O=C1C2C3C=CC(C3)C2C(=O)N1c1ccccc1,0.08
O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.355
CCCCCCC(CCCC)COCC(C[N+]1=Cc2ccccc2CC1)OS(=O)(=O)O,0.365
O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)O,0.12
CN1CCOCC1,0.305
COc1ccccc1NC(=O)C(N=Nc1ccc(S(=O)(=O)O)cc1[N+](=O)[O-])C(C)=O,0.245
C[N+]1([O-])CCOCC1,0.31
CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,0.305
CCC(C)NC1CCC(CC2CCC(NC(C)CC)CC2)CC1,0.28
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccc(-c2ccc(OP(=O)(Oc3ccccc3)Oc3ccccc3)cc2)cc1,0.16
C1CN2CCN1CC2,0.245
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,0.51
O=C1CN2CCC1CC2,0.295
COC(=O)c1nc[nH]c1C(=O)OC,0.405
O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,0.355
NNC(=O)NN,0.325
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,0.365
CCCCOP(=O)(O)OCCCC,0.485
Cc1cc(Cl)nc(Cl)c1C#N,0.36
CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC,0.6
CCc1cccc(C)c1Nc1ccc(Nc2c(C)cccc2CC)c2c1C(=O)c1ccccc1C2=O,0.18
O=S(=O)(O)c1ccc2c(ccc3nn(-c4ccc(N=Nc5ccc(C=Cc6ccc(-n7nc8cc(S(=O)(=O)O)c9ccccc9c8n7)cc6S(=O)(=O)O)c(S(=O)(=O)O)c5)cc4)nc32)c1,0.165
CC(=O)C(N=Nc1cc(Cl)c(-c2cc(Cl)c(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C,0.3
CCOc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OCC)cc4)c(Cl)c3)cc2Cl)C(C)=O)cc1,0.34
COc1ccccc1NC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,0.245
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,0.35
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1C,0.25
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0.405
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1,0.275
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,0.2
COc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4)c(Cl)c3)cc2Cl)C(C)=O)cc1,0.365
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(C)cc4C)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0.425
COc1ccc(N=Nc2c(S(=O)(=O)O)cc3c(S(=O)(=O)O)c(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)c(N=Nc6ccc7c(O)c(N=Nc8ccccc8S(=O)(=O)O)c(S(=O)(=O)O)cc7c6)c(O)c5c4N)ccc3c2O)c(S(=O)(=O)O)c1,0.415
C1CN(CCOCCN2CCOCC2)CCO1,0.335
CC(C)(C)c1nn(-c2nc(O)nc(-n3nc(C(C)(C)C)c(N=Nc4c(C#N)cnn4-c4cc(C(=O)O)cc(C(=O)O)c4)c3N)n2)c(N)c1N=Nc1c(C#N)cnn1-c1cc(C(=O)O)cc(C(=O)O)c1,0.295
CN(C)CCCNC(N)=O,0.42
O=C1c2c(Br)c(Br)c(Br)c(Br)c2C(=O)N1CCN1C(=O)c2c(Br)c(Br)c(Br)c(Br)c2C1=O,0.335
COC(=O)c1ccc(OC(=O)c2cc(OC)c(OC)cc2OC)cc1,0.4
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)OP(=O)([O-])Oc1c(cc(C(C)(C)C)cc1C(C)(C)C)C2,0.39
COC(OC)N(C)C,0.42
Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1,0.275
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,0.185
Brc1cc(Br)cc(-c2cc(Br)cc(Br)c2)c1,0.255
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,0.165
Cc1ccc(S(=O)(=O)Oc2c(C(=O)c3ccc(Cl)cc3Cl)c(C)nn2C)cc1,0.335
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(NC)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,0.57
CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,0.58
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.38
COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,0.385
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,0.37
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,0.28
CC(C)OP(C)(=O)OC(C)C,0.375
O=C(NC(=O)c1ccccc1Cl)Nc1ccc(Cl)cc1,0.1
CCCCCCCCCCC(C)c1ccccc1,0.31
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,0.255
CC(C)c1ccc(-c2ccc(Cl)cc2)cc1,0.25
CC(C)c1ccc(-c2cc(Cl)cc(Cl)c2)cc1,0.25
Brc1ccc(-c2cc(Br)cc(Br)c2)cc1,0.24
Brc1cc(Br)cc(-c2ccccc2)c1,0.09
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.225
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],0.36
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],0.275
Cc1cc([N+](=O)[O-])c(N(CCCl)CCCl)c([N+](=O)[O-])c1,0.345
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],0.375
CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],0.365
CCCCCCCCCCCCCCCCOS(=O)(=O)O,0.58
CCCCCCCCCCCCCCOS(=O)(=O)O,0.58
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,0.415
CN(C)C(=S)S,0.345
S=C(S)NCCNC(=S)S,0.31
Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,0.275
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.29
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0.24
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,0.29
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,0.415
O=C(O)C1C2CCC(O2)C1C(=O)O,0.31
COP(=O)(NC(C)=O)SC,0.39
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,0.275
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,0.16
Brc1ccc2[nH]ccc2c1,0.28
CCc1cccc(CC)c1N,0.165
COc1ccccc1,0.33
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0.24
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,0.46
O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,0.235
COc1ccc(C(=O)c2ccccc2)c(O)c1,0.38
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1C(Br)C(Br)(Br)Br,0.29
CC(C)(C)c1cccc(C(C)(C)C)c1O,0.215
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,0.35
CCOP(=S)(OCC)SCSCC,0.37
CCCSP(=O)(OCC)SCCC,0.425
COc1nc(NC(C)C)nc(NC(C)C)n1,0.395
C#CC(C)N(C(=O)CCl)c1ccccc1,0.14
CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,0.215
CNC(=O)Oc1ccc(N(C)C)c(C)c1,0.395
CCCCCCc1ccc(O)cc1,0.44
c1ccc2cc3cc4ccccc4cc3cc2c1,0.155
CC(C)CCCCCCc1ccc(O)cc1,0.345
CN(C)CCOC(c1ccccc1)c1ccccc1,0.18
CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl,0.445
CC(C)(c1ccccc1)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,0.22
CCCCCCC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,0.37
Cc1cccc(C)c1N,0.2
c1ccc2nc3ccc4ccccc4c3cc2c1,0.15
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,0.365
Cc1cc(Br)c(C)cc1Br,0.32
Cc1cc(Br)ccc1Br,0.295
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.335
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,0.3
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,0.34
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,0.265
CCCCSP(=O)(SCCCC)SCCCC,0.445
CCC(=O)Nc1ccc(Cl)c(Cl)c1,0.27
